n;nombre;unidad_medida;precio_unitario;saldo_inicial;entradas;salidas;saldo_final
229;REGISTRO RECEPCION DE ORDENES Y ENTREGA DE MUESTRAS LAB 12;HOJA;0,36;0;5;5;0
230;REGISTRO RECEPCIÓN MUESTRAS DERIVADAS LAB 23;HOJA;0,62;0;6;6;0
231;REGISTRO RESULTADOS DE PACIENTES LAB 2;HOJA;0,18;0;0;0;0
232;REGISTRO SOLICITUD DE PROVENIENTES LAB 1;HOJA;0,36;0;0;0;0
233;REGISTRO Y VALIDACIÓN DE RESULTADOS (HEMATÓLOGA) LAB 4;HOJA;0,29;0;0;0;0
234;REGISTRO Y VALIDACIÓN DE RESULTADOS DE PACIENTES EXT/SUS (HEMATOLOGÍA). AMBOS LADOS, TAMAÑO OFICIO COLOR BLANCO Y NEGRO, GRAMAJE: 75G/M2 20LB MEDIDA: 81/2X13(216MMX330MM).PQTE.X500HOJAS;PQTES;130;0;0;0;0
235;ROLER FULL COLOR 2M X 1M;UND;350;0;0;0;0
236;SEÑALETICA DE RESIDUOS ESPECIALES;UND;10;0;0;0;0
237;SEÑALETICA DE RESIDUOS INFECCIOSOS;UND;10;0;0;0;0
238;SERVICIO CLINICO DE LABORATORIO;BLOCK;21;0;0;0;0
239;SOBRE MANILA MEMBRETADO T/OFICIO;PZA;1,74;2000;0;0;2000
240;SOBRE PARA CD;UND;0,6;0;0;0;0
241;SOLICITUD DE TRANSFUSION SANGUINEA;BLOCK;140;0;3;3;0
242;TARJETA DE RECOJO ANATOMIA PATOLOGICA;UND;0,5;0;0;0;0
243;TRIPTICO INFORMATICO NEONATAL;UND;1,8;0;0;0;0
244;TRIPTICO INFORMATIVOS SERVICIOS QUE BRINDA EL HOSPITAL;PZA;0,75;0;0;0;0
245;TRIPTICOS FULL COLOR PAPEL CUCHE;UND;2,3;0;0;0;0
246;URO ANALISIS LABORATORIO;BLOCK;21;0;0;0;0
247;VALIDACIÓN DE RESULTADOS LAB 11;HOJA;0,36;3143;0;3143;0
248;VALES DE GASOLINA Y DIESEL;BLOCK;23;0;0;0;0
249;SOBRES DE RAYOS X DE 19X25;UND;2,2;0;0;0;0
250;SOBRES DE RAYOS X DE 25X31;UND;2,5;0;0;0;0
251;SOBRES DE RAYOS X DE 36X47;UND;3;2;20;22;0
252;NOTA DE EVOLUCION;UND;54,82;0;0;0;0
253;LIBRO HOSPITALARIO Nº 1;PZA;144,17;20;0;18;2
254;LIBRO HOSPITALARIO Nº 2;PZA;250;20;0;18;2
255;LIBRO HOSPITALARIO Nº26 ecografia;UND;30;0;0;0;0
256;ATENCION INMEDIATA AL RECIEN NACIDO;UND;0,19;44;0;44;0
257;EVOLUCION Y TRATAMIENTO DE RN.;UND;84,22;0;0;0;0
258;EXAMEN DE LABORATORIO;UND;72,56;0;0;0;0
259;FACTURAS EN ROLLO SIN COPIA;ROLLO;16,62;53;0;50;3
260;FACTURAS PARA RECAUDACIONES  HOSPITAL GENERAL;BLOCK;39,91;285;0;285;0
261;FACTURAS PARA RECAUDACIONES DE ORURO-COREA;BLOCK;36,08;0;0;0;0
262;FORM (HOJAS DE COSTOS);BLOCK;25,39;0;0;0;0
263;FORM. INTERCONSULTA INSTITUCIONAL;BLOCK;113,55;0;0;0;0
264;FORM. PERINATAL;UND;0,39;0;0;0;0
265;FORM. REGISTRO CITOLOGICO;UND;77,5;440;580;1020;0
266;FORMULARIO D8-D9;BLOCK;38,85;440;1027;1020;447
267;FORMULARIO DE REGISTRO INDIVIDUAL;UND;15,5;0;0;0;0
268;FORMULARIO Nº 8 ORDENES MEDICAS;HOJA;0,26;180;460;640;0
269;HISTORIA CLINICA DE GINECOLOGIA;BLOCK;62,5;0;50;50;0
270;HISTORIAS CLINICAS DE EMERGENCIAS;UND;94,78;0;70;70;0
271;HISTORIAS CLINICAS OBSTETRICA;BLOCK;62,62;0;150;150;0
272;HOJA DE EPICRISIS;BLOCK;59,27;28;422;450;0
273;HOJA DE UNIDAD DE CUIDADOS INTENSIVOS;BLOCK;56,53;285;2;285;2
274;HOJA MEMBRETADA DOCENCIA T/CARTA;HOJA;0,28;0;0;0;0
275;INFORME ESTADISTICO DE ADMISIONES Y EGRESO DE HOSPITALIZACION;UND;50,12;0;0;0;0
276;API MORADO;QQ;598,51;4;3;7;0
277;ARROCILLO;QQ;340;22;0;20;2
278;AZUCAR;QQ;309,99;54;52;106;0
279;CABELLO DE ANGEL;BOLSA;160;21;10;31;0
280;CARNE DE POLLO CORRESPONDIENTE 1ER SEMESTRE 2025;GLOBAL;89280;0;0;0;0
281;CARNE DE POLLO CORRESPONDIENTE AL 1ER SEMESTRE 2024;GLOBAL;80949,06;0;0;0;0
282;CARNE DE POLLO CORRESPONDIENTE AL 2 SEMESTRE 2023;GLOBAL;112940,4;0;0;0;0
